generation;fitness
0;248,30796134
1;2002,90950443
2;2130,95491428
3;1923,27779988
4;2097,95260128
5;1907,70357548
6;2086,68610278
7;1903,52045962
8;2082,68545617
9;1894,21036213
10;2076,74969663
11;1888,50323150
12;2065,89140670
13;1882,22808576
14;2061,57565839
15;1870,90601141
16;2056,24705872
17;1867,10689551
18;2045,33417293
19;1857,81851142
20;2048,92797172
21;1842,64622313
22;2041,55276853
23;1840,32423835
24;2037,01714298
25;1835,16999841
26;2032,60553230
27;1832,88856357
28;2034,15245483
29;1826,03704239
30;2027,13661669
31;1817,68269937
32;2022,14150492
33;1822,20099879
34;2025,94183711
35;1815,73641009
36;2024,12472643
37;1812,82328374
38;2020,70630754
39;1811,64875464
40;2019,93137825
41;1808,21415952
42;2012,62084683
43;1805,04018043
44;2008,57668360
45;1803,12919407
46;2007,53435204
47;1799,05866128
48;2004,33541730
49;1798,28125214
50;2000,31427416
51;1793,84079293
52;1999,16761451
53;1793,27439772
54;1994,71135650
55;1790,32453926
56;1998,28674953
57;1788,94702566
58;1993,66710036
59;1789,40630725
60;1993,84910163
61;1790,51311079
62;1995,84296774
63;1789,56187042
64;1992,44289149
65;1784,31880804
66;1983,38285096
67;1783,03080733
68;1990,16594676
69;1782,89593291
70;1991,26397589
71;1782,41206274
72;1992,34081747
73;1782,29021559
74;1987,79678378
75;1781,36586768
76;1982,34656713
77;1779,63306606
78;1984,31927677
79;1777,83374053
80;1984,91898169
81;1778,42897374
82;1982,01160553
83;1773,33709654
84;1979,55662808
85;1774,04592640
86;1974,82117364
87;1769,74125296
88;1978,60210333
89;1775,86395317
90;1977,46519648
91;1770,79596725
92;1976,10845566
93;1769,86979136
94;1973,58260461
95;1767,56180541
96;1971,58772601
97;1766,58371660
98;1972,82413327
99;1767,28888371
100;1972,64620965
101;1766,49264248
102;1971,55882994
103;1765,20110588
104;1968,35369955
105;1763,94009850
106;1971,98737237
107;1766,60305639
108;1964,45285131
109;1765,40213343
110;1963,63483743
111;1763,07662072
112;1967,39217480
113;1761,40532712
114;1956,47048079
115;1759,81738881
116;1966,12885633
117;1762,83146133
118;1965,14193782
119;1759,90205320
120;1967,55367450
121;1760,40661640
122;1965,34392102
123;1760,18430053
124;1963,36995766
125;1759,67745481
126;1964,95306407
127;1757,79177069
128;1962,70028675
129;1757,80055870
130;1960,35347881
131;1756,00066716
132;1961,22053349
133;1754,23060118
134;1959,06812259
135;1757,31261295
136;1961,12705031
137;1755,29317406
138;1959,85642225
139;1754,63393432
140;1959,02162732
141;1756,10745932
142;1959,60821808
143;1755,00021084
144;1960,09064353
145;1755,09139879
146;1959,46877206
147;1754,58793447
148;1958,46244869
149;1754,35534341
150;1954,44641063
151;1750,98238587
152;1956,00309215
