generation;fitness
0;2083,52189791
1;1968,17029913
2;1988,23817611
3;1943,89960618
4;1974,73080158
5;1937,81658006
6;1964,34400640
7;1931,59286963
8;1959,42948436
9;1923,78257982
10;1964,86928631
11;1924,37819327
12;1958,78389308
13;1924,90115565
14;1956,06077143
15;1918,95398650
16;1949,02531759
17;1916,22078513
18;1940,38868498
19;1913,87371857
20;1934,96765271
21;1914,51990655
22;1930,73595919
23;1909,80506380
24;1924,37498741
25;1906,92279890
26;1922,94971231
27;1903,04940504
28;1913,94051612
29;1898,79548804
30;1900,40308060
31;1894,81448703
32;1903,44662061
33;1892,81211009
34;1894,85402951
35;1891,34781132
36;1890,48023746
37;1888,57082668
38;1895,84084796
39;1885,55115228
40;1888,60627691
41;1881,47041340
42;1891,03552503
43;1883,51466232
44;1884,59752225
45;1881,09049442
46;1880,55814051
47;1881,47125682
48;1883,65503361
49;1880,14561134
50;1879,47740657
51;1875,61175044
52;1879,60984383
53;1876,56208577
54;1878,43013393
55;1876,43979514
56;1879,73273153
57;1876,00159871
58;1874,57036899
59;1871,81882411
60;1877,98921719
61;1869,93484560
62;1875,92634990
63;1868,95499708
64;1875,79487808
65;1868,11467986
66;1875,26643810
67;1864,85392728
68;1869,34800354
69;1866,17535297
70;1869,60903727
71;1864,77329662
72;1872,36731722
73;1863,11603333
74;1873,75276580
75;1862,91427215
76;1870,67369468
77;1862,11575945
78;1870,13676103
79;1861,56898361
80;1866,58618891
81;1858,48209810
82;1866,42894066
83;1858,78406009
84;1866,38805100
85;1856,10288796
86;1864,15577217
87;1854,10683563
88;1860,94946545
89;1857,78779297
90;1862,32989020
91;1859,53317579
92;1859,99190897
93;1858,30370184
94;1861,01467531
95;1856,41644875
96;1857,70154344
97;1854,93282986
98;1859,00964017
99;1853,10625621
100;1855,86030982
101;1849,53767930
102;1856,33701241
103;1853,54407376
104;1855,88977763
105;1853,95857669
106;1854,01078512
107;1852,43732693
108;1851,88396802
109;1852,39920961
110;1853,10739258
111;1853,14753804
112;1857,21631820
113;1850,27460343
114;1859,97193377
115;1848,45832877
116;1858,58414677
117;1851,75115627
118;1856,12440861
119;1851,51273802
120;1855,81134787
121;1852,02358296
122;1855,81008588
123;1851,59953703
124;1854,23750484
125;1847,27882678
126;1855,09542921
127;1852,53895539
128;1855,68636962
129;1851,46082357
130;1854,67675338
131;1848,81796320
132;1853,81341724
133;1848,68048061
134;1853,81253576
135;1846,59293568
136;1852,66263615
137;1850,70353843
138;1852,38226861
139;1847,33111613
140;1852,05021157
141;1845,92715496
142;1850,97976469
143;1847,56772799
144;1852,84163373
145;1848,17775285
146;1852,62315840
147;1846,62769980
