generation;fitness;time
0;0,00000000;0,00000000
1;2377,57313012;721,53333333
2;1935,94737603;1067,60000000
3;2259,17938011;1415,53333333
4;1910,75639542;1757,56666667
5;2210,90132441;2100,90000000
6;1895,49594530;2441,23333333
7;2195,52685659;2786,50000000
8;1887,17169983;3126,66666667
9;2189,07661583;3472,56666667
10;1881,52211977;3814,26666667
11;2180,72593525;4158,26666667
12;1878,33583069;4499,40000000
13;2176,90904622;4843,96666667
14;1875,63933495;5184,66666667
15;2181,70418763;5531,33333333
16;1877,18755737;5872,66666667
17;2174,41883951;6218,23333333
18;1867,00779807;6559,73333333
19;2169,90375049;6903,83333333
20;1860,95001645;7244,00000000
21;2166,14997522;7587,23333333
22;1860,86923048;7927,20000000
23;2162,01891924;8273,30000000
24;1852,59603067;8613,80000000
25;2164,43192112;8960,96666667
26;1847,69017564;9303,50000000
27;2157,44590588;9651,06666667
28;1840,43896167;9995,70000000
29;2149,04446347;10343,03333333
30;1830,54915178;10686,46666667
31;2145,15434094;11035,23333333
32;1826,86980038;11380,66666667
33;2143,58437391;11730,26666667
34;1822,83070225;12075,70000000
35;2145,15642817;12425,63333333
36;1830,20850015;12771,93333333
37;2141,17727775;13121,30000000
38;1830,16133857;13468,83333333
39;2143,35456781;13819,76666667
40;1825,16927549;14166,46666667
41;2142,68525944;14517,93333333
42;1822,20988534;14865,73333333
43;2137,71963406;15219,03333333
44;1825,57018010;15566,13333333
45;2139,12130031;15918,43333333
46;1817,45083459;16267,23333333
47;2137,35154644;16619,06666667
48;1821,21800488;16967,53333333
49;2140,54903088;17321,90000000
50;1816,64400137;17672,90000000
51;2136,19909034;18026,96666667
52;1811,40256766;18378,53333333
53;2132,73253635;18733,96666667
54;1815,47513448;19084,53333333
55;2139,42651399;19439,53333333
56;1809,59288647;19790,50000000
57;2134,85322041;20146,83333333
58;1812,42063213;20497,60000000
59;2138,31326642;20852,80000000
60;1812,45089933;21203,93333333
61;2134,28439579;21559,90000000
62;1811,15563013;21912,03333333
63;2135,18692218;22266,50000000
64;1813,22979221;22619,93333333
65;2135,70666962;22974,70000000
66;1813,84036204;23328,43333333
67;2135,44676782;23687,43333333
68;1805,05693566;24042,56666667
69;2134,21281038;24400,73333333
70;1803,87130811;24756,00000000
71;2130,13925110;25114,93333333
72;1809,54032980;25468,40000000
73;2130,32970545;25826,83333333
74;1804,81310215;26182,03333333
75;2127,19527812;26541,86666667
76;1801,05854517;26896,46666667
77;2128,49151554;27255,83333333
78;1803,77420054;27612,70000000
79;2122,44463256;27973,56666667
80;1799,16213420;28331,16666667
81;2121,99105270;28693,36666667
82;1798,69935873;29050,53333333
83;2121,38029921;29411,46666667
84;1801,11063214;29769,03333333
85;2121,48348208;30131,13333333
86;1799,33847930;30488,86666667
87;2120,12271940;30850,93333333
88;1799,96658487;31208,86666667
89;2118,12123470;31572,30000000
90;1797,72342178;31933,06666667
91;2116,86517425;32296,00000000
92;1797,05745629;32655,23333333
93;2118,63148461;33019,86666667
94;1790,58354632;33379,06666667
95;2119,43718234;33742,90000000
96;1793,23178322;34103,56666667
97;2120,79618096;34470,16666667
98;1788,77503982;34831,40000000
99;2118,94422614;35195,76666667
100;1787,55020845;35557,16666667
101;2120,28506325;35922,60000000
102;1782,84659104;36284,93333333
103;2116,51927718;36650,93333333
104;1781,99430586;37012,33333333
105;2114,95772276;37380,16666667
106;1782,45144777;37742,90000000
107;2117,44392588;38111,30000000
108;1784,09734284;38474,93333333
109;2112,81085538;38842,80000000
110;1785,64871813;39205,46666667
111;2112,16477938;39572,70000000
112;1784,82027201;39936,13333333
113;2117,77550604;40303,36666667
114;1782,73593119;40666,40000000
115;2117,95521566;41034,16666667
116;1781,23935879;41396,43333333
117;2116,13084341;41763,83333333
118;1785,58857761;42128,66666667
119;2113,60335631;42496,86666667
120;1779,18025309;42861,96666667
121;2111,24119183;43231,13333333
122;1781,47011964;43595,16666667
123;2108,63009428;43963,86666667
124;1783,14243097;44329,33333333
125;2110,83448100;44698,50000000
126;1786,00616822;45064,70000000
127;2111,98193974;45433,76666667
128;1781,66741048;45799,53333333
129;2112,75279172;46170,50000000
130;1782,15247518;46535,90000000
131;2109,46020886;46907,93333333
132;1779,35496417;47273,50000000
133;2105,98683262;47645,73333333
134;1777,76525247;48012,30000000
135;2102,69049644;48383,93333333
136;1771,66454109;48750,70000000
137;2104,51360661;49124,13333333
138;1775,38461377;49493,33333333
139;2106,26367683;49866,63333333
140;1774,63766343;50236,33333333
141;2104,58693592;50610,00000000
142;1773,59698345;50979,63333333
143;2103,84085582;51354,60000000
144;1773,38369045;51723,76666667
145;2102,75262418;52097,23333333
146;1770,10646726;52468,70000000
147;2101,15036262;52844,13333333
148;1774,06722352;53214,73333333
149;2100,01506400;53588,43333333
150;1774,01302204;53960,20000000
151;2100,38785390;54333,66666667
152;1772,72217622;54706,13333333
153;2096,66702000;55081,00000000
154;1774,37097482;55453,10000000
155;2090,40054908;55829,43333333
156;1773,21058753;56203,86666667
157;2095,85459377;56579,56666667
158;1771,32663865;56951,96666667
159;2095,80354776;57328,53333333
160;1767,99076699;57701,23333333
161;2091,50306485;58078,70000000
162;1765,99632035;58450,50000000
163;2087,20398496;58827,63333333
164;1763,14436344;59198,86666667
165;2089,17356541;59574,70000000
166;1766,47551791;59947,23333333
167;2085,98483529;60322,93333333
168;1763,18179137;60697,30000000
169;2088,07589055;61074,86666667
170;1765,03210067;61450,30000000
171;2082,85232255;61828,16666667
172;1765,23715756;62202,86666667
173;2083,84816537;62580,76666667
174;1762,21576876;62955,33333333
175;2084,90410182;63335,30000000
176;1758,77543551;63709,30000000
177;2087,25518507;64089,06666667
178;1759,84645391;64462,83333333
179;2085,93307245;64841,16666667
180;1758,18511636;65215,43333333
181;2087,03603795;65594,40000000
182;1755,70830650;65971,23333333
183;2082,23007177;66350,86666667
184;1756,08451256;66726,26666667
185;2079,77180632;67107,30000000
186;1755,24266728;67482,96666667
187;2080,07599263;67864,00000000
188;1753,06452960;68238,86666667
189;2080,12800632;68619,60000000
190;1752,29545724;68995,20000000
191;2083,31765069;69374,73333333
192;1751,55357621;69752,26666667
193;2076,22966686;70134,06666667
194;1750,57659198;70511,36666667
195;2078,20757833;70892,36666667
196;1747,36161813;71271,16666667
197;2080,85277638;71652,03333333
198;1747,60317946;72029,43333333
199;2081,62141298;72409,90000000
200;1750,59502276;72786,70000000
201;2077,77602985;73168,53333333
202;1750,12061424;73545,30000000
203;2074,56835503;73929,63333333
204;1748,58281826;74307,86666667
205;2076,89955746;74689,83333333
206;1743,26555840;75065,00000000
207;2075,53688758;75448,16666667
208;1746,84546422;75824,50000000
209;2077,20983630;76206,70000000
210;1744,37461911;76584,36666667
211;2077,49941091;76966,63333333
212;1745,98589125;77344,63333333
213;2075,55120504;77727,93333333
214;1745,21788252;78107,16666667
215;2078,59087452;78489,23333333
216;1746,16819941;78866,56666667
217;2085,50204044;79247,60000000
218;1745,08963548;79626,60000000
219;2083,02976059;80008,36666667
220;1744,14970794;80388,10000000
221;2084,57231273;80771,03333333
222;1742,20027470;81149,96666667
223;2080,67868900;81533,00000000
224;1741,96419543;81909,83333333
225;2078,58482216;82292,43333333
226;1736,32678422;82671,36666667
227;2079,82872469;83055,00000000
228;1741,75293277;83432,33333333
229;2082,04690243;83816,16666667
230;1739,72832395;84195,60000000
231;2078,32973570;84580,23333333
232;1740,90032984;84959,83333333
233;2080,54141162;85344,40000000
234;1741,78632162;85722,33333333
235;2079,82771042;86107,10000000
236;1741,83989954;86485,23333333
237;2077,66803594;86870,70000000
238;1742,42132078;87249,23333333
239;2076,91113090;87634,90000000
240;1742,61765688;88013,93333333
241;2074,35949760;88400,20000000
242;1739,68506932;88782,70000000
243;2073,57495315;89166,66666667
244;1740,88941854;89548,20000000
245;2077,05749273;89933,13333333
246;1741,67896203;90313,10000000
247;2078,99880366;90700,26666667
248;1743,07974285;91082,40000000
249;2073,76230921;91467,86666667
250;1740,49945450;91848,70000000
251;1951,66729388;92601,56666667
252;1950,04416120;93355,76666667
253;1949,13699442;94110,00000000
254;1948,20630624;94864,23333333
255;1947,38701854;95615,43333333
256;1946,38513685;96369,83333333
257;1944,76924161;97125,86666667
258;1943,70321600;97879,70000000
259;1943,41551105;98635,46666667
260;1942,97966832;99390,23333333
261;1942,03320640;100144,23333333
262;1940,91472156;100901,00000000
263;1940,66772398;101655,93333333
264;1940,61251235;102411,06666667
265;1940,26571557;103168,30000000
266;1939,61123701;103923,53333333
267;1937,59906145;104679,86666667
268;1937,30237001;105437,73333333
269;1935,71105182;106194,96666667
270;1934,87938133;106948,06666667
271;1934,46482150;107706,66666667
272;1934,25511876;108464,93333333
273;1934,23497717;109219,53333333
274;1933,08078980;109977,30000000
275;1932,87048774;110732,66666667
276;1932,70438676;111494,13333333
277;1930,58665604;112253,93333333
278;1930,40819830;113012,93333333
279;1930,11882641;113772,20000000
280;1929,53086285;114530,70000000
281;1929,42065141;115292,30000000
282;1928,57902227;116054,80000000
283;1928,10931726;116820,16666667
284;1928,05664147;117582,93333333
285;1927,24990308;118348,56666667
286;1926,08294537;119115,33333333
287;1925,34411028;119882,33333333
288;1925,00088124;120647,33333333
289;1924,76322059;121413,00000000
290;1924,33605818;122177,53333333
291;1924,02503809;122946,33333333
292;1923,47564552;123712,33333333
293;1922,79953758;124481,26666667
294;1922,44981774;125247,70000000
295;1921,68096073;126017,00000000
296;1920,75744126;126787,06666667
297;1919,45931988;127556,40000000
298;1919,28974227;128322,43333333
299;1918,04239347;129090,26666667
300;1917,69219990;129859,30000000
301;1917,54088725;130629,80000000
302;1917,29370187;131400,36666667
303;1915,54041462;132173,06666667
304;1915,41105570;132945,80000000
305;1915,15955908;133717,40000000
306;1913,95564290;134490,50000000
307;1913,66702350;135262,06666667
308;1913,64286326;136035,43333333
309;1913,55972173;136809,93333333
310;1913,48373502;137580,96666667
311;1913,15240078;138354,63333333
312;1911,76475486;139128,03333333
313;1911,63424882;139900,56666667
314;1910,49678221;140674,90000000
315;1909,83096694;141448,80000000
316;1909,30937745;142220,76666667
317;1909,03119714;142995,86666667
318;1908,97465962;143769,33333333
319;1908,79199123;144542,33333333
320;1908,70426986;145315,53333333
321;1908,45453693;146088,90000000
322;1908,38339409;146862,53333333
323;1908,28763048;147635,16666667
324;1908,13320282;148410,83333333
325;1906,42173528;149187,96666667
326;1906,41969627;149961,70000000
327;1906,36741647;150740,23333333
328;1906,29262661;151515,70000000
329;1906,00572424;152290,33333333
330;1905,79579121;153065,83333333
331;1905,54085059;153842,23333333
332;1905,31535699;154619,03333333
333;1904,50031932;155395,63333333
334;1904,32631138;156169,90000000
335;1904,11141774;156945,93333333
336;1903,94291720;157721,80000000
337;1903,92552164;158497,46666667
338;1903,79422794;159274,40000000
339;1903,53846375;160051,16666667
340;1902,51655961;160823,70000000
341;1902,47739181;161600,13333333
342;1902,44560732;162377,56666667
343;1902,10383747;163154,83333333
344;1901,97770015;163931,56666667
345;1901,60211231;164710,76666667
346;1901,44288108;165488,96666667
347;1901,42655021;166265,63333333
348;1901,21471064;167045,63333333
349;1901,05285108;167825,10000000
350;1900,93129642;168606,16666667
351;1900,42736054;169385,80000000
352;1900,20383152;170165,73333333
353;1899,90839084;170948,43333333
354;1899,57953248;171729,13333333
355;1899,38987456;172511,80000000
356;1898,97716912;173292,30000000
357;1898,40540368;174075,16666667
358;1898,24297554;174855,20000000
359;1897,73021611;175638,00000000
360;1897,62051044;176420,23333333
361;1897,32728627;177199,73333333
362;1897,11792865;177979,06666667
363;1896,93958894;178761,73333333
364;1896,82583914;179542,06666667
365;1896,58434794;180324,76666667
366;1896,41881973;181106,16666667
367;1895,41399393;181885,70000000
368;1895,34610998;182665,63333333
369;1895,11808587;183444,93333333
370;1894,90354541;184228,53333333
371;1894,06756000;185006,86666667
372;1893,96651412;185788,83333333
373;1893,57281968;186570,86666667
374;1893,31461912;187348,93333333
375;1893,22336600;188129,53333333
376;1893,01652549;188909,03333333
377;1892,98592165;189690,93333333
378;1892,53650043;190470,40000000
379;1892,33599908;191249,16666667
380;1892,19013913;192028,90000000
381;1892,04336464;192808,40000000
382;1891,90181548;193587,46666667
383;1891,90009641;194368,40000000
384;1891,16130099;195147,23333333
385;1890,71758501;195929,80000000
386;1890,07131111;196706,13333333
387;1889,70819232;197488,70000000
388;1889,70148633;198271,10000000
389;1889,47511756;199051,76666667
390;1889,47510656;199832,10000000
391;1889,41663371;200612,20000000
392;1889,19352952;201393,30000000
393;1889,08771228;202174,60000000
394;1889,00352823;202957,43333333
395;1887,92710770;203741,30000000
396;1887,88583332;204524,06666667
397;1887,19518619;205305,16666667
398;1887,18406512;206089,23333333
399;1887,12930143;206876,20000000
400;1887,09780242;207659,60000000
401;1887,09780242;208449,30000000
402;1886,48563581;209234,53333333
403;1886,41174819;210024,60000000
404;1886,37569707;210813,10000000
405;1886,20656618;211602,06666667
406;1885,08091749;212391,10000000
407;1885,08091749;213179,66666667
408;1884,91728645;213970,00000000
409;1884,72563275;214757,16666667
410;1884,72563275;215546,86666667
411;1884,66736768;216337,56666667
412;1884,63823107;217126,36666667
413;1884,63823107;217915,73333333
414;1884,62678005;218701,86666667
415;1884,53789380;219493,53333333
416;1884,25802539;220283,16666667
417;1883,39214722;221073,73333333
418;1882,95738437;221861,13333333
419;1882,90666900;222651,86666667
420;1882,39265459;223439,23333333
421;1882,32861709;224230,73333333
422;1881,42955385;225020,50000000
423;1881,41904599;225808,56666667
424;1881,41857502;226599,16666667
425;1880,78359667;227386,50000000
426;1880,63168427;228177,30000000
427;1880,60317152;228966,53333333
428;1880,41145384;229758,56666667
429;1880,18646800;230549,23333333
430;1880,08127930;231340,20000000
431;1880,06322018;232129,83333333
432;1880,03249717;232921,83333333
433;1879,81539736;233713,70000000
434;1879,81539736;234504,36666667
435;1879,77428816;235300,66666667
436;1879,54623092;236093,60000000
437;1879,37446512;236884,40000000
438;1879,16360692;237675,53333333
439;1879,05024423;238472,43333333
440;1878,75860459;239268,00000000
441;1878,63281995;240062,63333333
442;1878,02754989;240856,73333333
443;1878,02749305;241654,10000000
444;1877,98273065;242447,93333333
445;1877,77980813;243240,46666667
446;1877,77007845;244036,73333333
447;1877,62778876;244836,16666667
448;1877,45894340;245631,96666667
449;1877,24002417;246424,30000000
450;1877,10459700;247220,00000000
451;1876,96689528;248015,96666667
452;1876,82096553;248810,96666667
453;1876,81938172;249608,33333333
454;1876,53585796;250406,00000000
455;1876,34561611;251202,36666667
456;1876,10898342;251996,23333333
457;1875,68842762;252794,90000000
458;1875,63678992;253593,30000000
459;1875,59497736;254387,73333333
460;1875,35728909;255185,43333333
461;1875,22126014;255982,40000000
462;1874,31788928;256782,43333333
463;1874,30281317;257578,50000000
464;1874,04956617;258375,10000000
465;1873,73727793;259172,93333333
466;1873,58245065;259969,40000000
467;1873,47121413;260767,13333333
468;1873,33897366;261564,96666667
469;1873,14643045;262362,90000000
470;1872,55709049;263158,56666667
471;1872,52222413;263956,86666667
472;1872,40143859;264754,16666667
473;1872,40023211;265555,13333333
474;1872,14068035;266351,66666667
475;1871,81821429;267154,30000000
476;1871,56190780;267955,23333333
477;1871,25781531;268750,13333333
478;1871,13845535;269549,23333333
479;1870,85372846;270347,20000000
480;1870,82356761;271143,60000000
481;1870,74455194;271942,60000000
482;1870,25026856;272742,63333333
483;1869,63792504;273541,06666667
484;1869,05129191;274339,03333333
485;1869,01935571;275138,76666667
486;1869,01935571;275937,93333333
487;1869,01595475;276738,76666667
488;1868,98232413;277538,53333333
489;1868,82904636;278339,56666667
