generation;fitness;time
0;2075,50847539;1102,60000000
1;2131,96157885;1466,70000000
2;2035,13989742;1828,16666667
3;2024,60946891;2186,33333333
4;1946,09573851;2546,60000000
5;1968,13494175;2905,03333333
6;1909,93244608;3264,03333333
7;1929,78363116;3623,53333333
8;1895,70415437;3979,20000000
9;1900,88052471;4336,50000000
10;1873,22946286;4695,86666667
11;1901,20861730;5051,50000000
12;1872,13792058;5407,40000000
13;1874,87537578;5765,00000000
14;1860,12057127;6121,23333333
15;1876,13210836;6476,83333333
16;1859,18108906;6835,63333333
17;1867,67706787;7194,20000000
18;1856,92260880;7549,90000000
19;1855,71811154;7902,00000000
20;1850,85351177;8256,73333333
21;1858,66740575;8616,36666667
22;1842,79119171;8973,16666667
23;1850,93608771;9328,06666667
24;1843,54796192;9685,23333333
25;1854,20304607;10044,86666667
26;1850,49322199;10403,00000000
27;1846,06328533;10761,33333333
28;1842,42609902;11124,23333333
29;1846,43301124;11490,56666667
30;1841,24953429;11854,56666667
31;1841,75060264;12216,90000000
32;1834,46127984;12579,43333333
33;1837,89659758;12940,23333333
34;1831,25363221;13304,93333333
35;1838,37524286;13667,56666667
36;1831,15476774;14033,33333333
37;1840,10175479;14397,43333333
38;1836,65515104;14764,13333333
39;1834,84729210;15129,10000000
40;1827,19435465;15493,96666667
41;1831,76981683;15860,80000000
42;1828,24564507;16225,63333333
43;1830,33593126;16590,43333333
44;1823,37003196;16957,40000000
45;1825,92327683;17320,00000000
46;1819,73191680;17683,20000000
47;1826,42010180;18046,13333333
48;1824,83665317;18411,76666667
49;1825,70649099;18775,20000000
50;1822,60424289;19145,06666667
51;1824,83580838;19515,83333333
52;1820,66388274;19883,23333333
53;1821,33718220;20247,43333333
54;1820,12118775;20612,20000000
55;1824,43918032;20977,83333333
56;1820,19402410;21341,00000000
57;1820,58159150;21709,73333333
58;1811,71296696;22078,76666667
59;1815,12836951;22448,86666667
60;1811,21110186;22819,30000000
61;1817,43652782;23189,93333333
62;1812,93853514;23556,86666667
63;1815,52186497;23921,90000000
64;1812,41289649;24293,90000000
65;1814,46001138;24666,13333333
66;1810,38396086;25034,03333333
67;1812,96881493;25403,26666667
68;1809,60300618;25776,26666667
69;1811,77744123;26147,20000000
70;1808,10661575;26515,73333333
71;1808,27206252;26883,76666667
72;1806,00117137;27252,50000000
73;1807,28235352;27623,40000000
74;1804,39916374;27995,16666667
75;1806,26150209;28371,26666667
76;1804,15705924;28742,13333333
77;1803,77897501;29114,40000000
78;1800,80009344;29485,20000000
79;1802,77798777;29862,06666667
80;1799,16505017;30235,26666667
81;1801,18997528;30606,93333333
82;1797,67920838;30977,66666667
83;1800,03679039;31350,00000000
84;1797,08861383;31724,53333333
85;1800,01032267;32098,23333333
86;1799,02259203;32467,86666667
87;1797,86919629;32839,33333333
88;1794,32558098;33213,10000000
89;1795,49948269;33591,70000000
90;1791,54058073;33963,10000000
91;1794,46714049;34341,33333333
92;1790,61911870;34716,20000000
93;1792,47753548;35093,10000000
94;1790,18740197;35469,80000000
95;1792,62254586;35842,76666667
96;1789,79272769;36220,23333333
97;1791,11038420;36602,80000000
98;1786,16552315;36978,93333333
99;1788,08335901;37354,63333333
100;1785,43495033;37729,70000000
101;1787,54197588;38104,20000000
102;1786,18916953;38478,63333333
103;1787,19824914;38856,86666667
104;1785,26891650;39231,53333333
105;1787,51130399;39607,63333333
106;1784,16921842;39981,80000000
107;1784,93060977;40357,46666667
108;1783,64687503;40733,03333333
109;1785,21399480;41107,30000000
110;1784,30351969;41480,33333333
111;1784,62120845;41860,40000000
112;1783,99720690;42235,90000000
113;1783,19994709;42610,46666667
114;1781,59443679;42985,40000000
115;1784,21707153;43362,10000000
116;1781,20792193;43740,40000000
117;1782,92040092;44119,66666667
118;1779,32125988;44494,46666667
119;1780,50467996;44873,70000000
120;1773,05403421;45251,90000000
121;1781,01852506;45629,60000000
122;1779,26544586;46008,63333333
123;1781,57660380;46388,80000000
124;1778,78331572;46770,33333333
125;1781,74586108;47153,76666667
126;1780,28419742;47534,76666667
127;1780,13924780;47914,46666667
128;1778,08039411;48293,66666667
129;1778,36399111;48666,96666667
130;1773,50335202;49047,96666667
131;1776,69081750;49427,90000000
132;1774,48127877;49808,50000000
133;1777,18070929;50191,03333333
134;1773,67635130;50572,00000000
135;1776,15706773;50955,33333333
136;1773,51256174;51335,56666667
137;1775,16996009;51717,63333333
138;1770,91040215;52093,10000000
139;1773,53017126;52476,76666667
140;1771,56339005;52859,66666667
141;1771,98994141;53237,36666667
142;1770,08190532;53614,90000000
143;1771,54282669;53993,73333333
144;1770,60219297;54373,96666667
145;1770,15181593;54755,76666667
146;1769,26533031;55131,56666667
147;1769,15599515;55513,23333333
148;1767,09421952;55895,86666667
