generation;island;fitness;time
0;0;2080.781323939229;1581
1;0;2073.868579412542;2028
2;0;2072.9261556892156;2445
3;0;1989.9914568446125;2824
4;0;1974.0794718859922;3213
5;0;2016.2197785644373;3585
6;0;1972.8000027084897;3930
7;0;1978.9238771217515;4279
8;0;1978.8722366227998;4628
9;0;1956.9915161010172;4988
10;0;1887.0886354570264;5355
11;0;1895.3114414151403;5727
12;0;1872.5983510742003;6109
13;0;1841.7020876160175;6492
14;0;1841.7020876160175;6872
15;0;1825.6674713296798;7255
16;0;1825.6674713296798;7605
17;0;1850.6618990489071;7975
18;0;1825.6674713296798;8348
19;0;1833.5436231010985;8733
20;0;1801.110164831234;9070
21;0;1801.1105443592905;9432
22;0;1801.1095714888122;9807
23;0;1801.1103262136055;10167
24;0;1801.1087138230068;10532
25;0;1801.1100579991594;10897
26;0;1801.1057845079783;11266
27;0;1801.1073171193523;11621
28;0;1801.1073171193523;12002
29;0;1801.1076251219797;12393
30;0;1801.1076251219797;12780
31;0;1792.303203419241;13157
32;0;1784.1552633177146;13507
33;0;1784.1558535775328;13883
34;0;1784.1533813274539;14232
35;0;1784.1538270864644;14589
36;0;1784.1538270864644;14947
37;0;1784.15369340246;15307
38;0;1784.15369340246;15678
39;0;1784.15369340246;16039
40;0;1784.15369340246;16413
41;0;1784.15369340246;16772
42;0;1784.15369340246;17145
43;0;1784.15369340246;17523
44;0;1784.15369340246;17880
45;0;1784.15369340246;18250
46;0;1784.15369340246;18609
47;0;1784.15369340246;18966
48;0;1784.15369340246;19343
49;0;1784.15369340246;19716
50;0;1784.15369340246;20085
51;0;1784.15369340246;20448
52;0;1784.15369340246;20852
53;0;1784.15369340246;21202
54;0;1784.15369340246;21588
55;0;1833.510735427134;21974
56;0;1827.2788603678855;22337
57;0;1831.312595583429;22715
58;0;1816.5744358306238;23066
59;0;1820.5713568688382;23450
60;0;1820.5713568688382;23826
61;0;1831.4091344506178;24189
62;0;1822.0121724497224;24512
63;0;1821.4826074608031;24898
64;0;1821.4826074608031;25283
65;0;1833.510735427134;25669
66;0;1832.0737324740242;26062
67;0;1832.0737324740242;26447
