generation;fitness;time
0;2301,52677137;8400,08695652
1;2008,47949493;17209,39130435
2;2177,56370271;25607,17391304
3;1941,78942370;34138,73913043
4;2128,62856736;42472,30434783
5;1931,15566120;51031,00000000
6;2122,61103383;59488,52173913
7;1925,38249113;67987,86956522
8;2116,94839571;76560,17391304
9;1923,42540397;85447,13043478
10;2113,92006877;94214,52173913
11;1916,33403388;103343,82608696
12;2106,05227534;112604,34782609
13;1911,45081705;121922,43478261
14;2102,03137895;131275,47826087
15;1908,61448841;141134,26086957
16;2090,73464328;150937,08695652
17;1902,32932664;160966,73913043
18;2083,73965021;170866,13043478
19;1895,38704587;180809,34782609
20;2076,77561580;191189,82608696
21;1893,05218708;201838,60869565
22;2077,33348641;212428,04347826
23;1893,14941030;223197,00000000
24;2074,92304970;233958,00000000
25;1886,94396727;245238,73913043
26;2068,05297206;256544,73913043
27;1881,12099604;268313,47826087
28;2065,27814778;279886,17391304
29;1875,51136445;291669,08695652
30;2056,24077093;303793,52173913
31;1869,44456855;316213,91304348
32;2053,95405097;328469,43478261
33;1864,08160353;340941,13043478
34;2049,07946321;353290,86956522
35;1850,81041540;365903,60869565
36;2042,54007583;378609,04347826
37;1852,27533061;391147,39130435
38;2034,82589410;403860,17391304
39;1851,00072657;416643,08695652
40;2025,27766802;429351,69565217
41;1847,70034959;442062,26086957
42;2033,80543014;454899,86956522
43;1846,16983558;468215,91304348
44;2032,17269491;481398,91304348
45;1844,21883959;495025,00000000
46;2020,83631475;508388,43478261
47;1844,32847153;522145,95652174
48;2018,94920779;535847,13043478
49;1845,95488653;549909,34782609
50;2014,61128121;563588,78260870
51;1836,67962539;578047,04347826
52;2016,92172690;592791,08695652
53;1829,41653059;608503,04347826
54;2012,74696545;623385,52173913
55;1827,31068541;638251,82608696
56;2007,01163643;653852,00000000
57;1828,25949893;669161,39130435
58;2009,96455608;683757,82608696
59;1822,87883390;698668,52173913
60;2011,43932054;713288,43478261
61;1821,82350545;728170,78260870
62;2010,80322099;743003,34782609
63;1821,93216998;758261,30434783
64;2009,80957260;773298,73913043
65;1821,85405754;788353,26086957
66;2010,99703152;803230,69565217
67;1822,04912052;818350,21739130
68;2002,51103664;833360,60869565
69;1827,29877385;848704,52173913
70;2009,76829405;863744,47826087
71;1827,29101804;879353,34782609
72;2008,85117661;894572,78260870
73;1826,27501000;909878,13043478
74;2008,50475714;925439,82608696
75;1823,83261464;941011,95652174
76;2005,25732824;956104,13043478
77;1818,72704750;971819,08695652
78;2003,33499160;987359,17391304
79;1817,68129223;1003411,91304348
80;2007,57283568;1019095,47826087
81;1816,49291258;1035334,47826087
82;2005,84562490;1051029,69565217
83;1815,93865238;1067447,60869565
84;2005,73271245;1083232,00000000
85;1811,04992100;1099266,56521739
86;2000,38255006;1114820,21739130
87;1805,26546062;1130410,00000000
88;1998,92580567;1145639,04347826
89;1816,95383090;1161188,65217391
90;1999,35678774;1176583,86956522
91;1814,69117633;1192362,65217391
92;1996,78682597;1207828,86956522
93;1815,43831651;1223861,65217391
94;1994,24526593;1239738,95652174
95;1813,33118025;1255502,69565217
96;1995,69419191;1271541,56521739
97;1813,68045643;1287400,82608696
98;1991,69635978;1303011,78260870
99;1803,21182069;1318896,34782609
100;1989,73579543;1334209,13043478
101;1807,52753621;1350124,69565217
102;1988,25474327;1365521,47826087
103;1804,66169186;1381319,39130435
104;1990,69661080;1396827,78260870
105;1807,18363577;1413019,82608696
106;1990,47412604;1428873,56521739
107;1795,64203810;1445064,39130435
108;1994,35756027;1460930,82608696
109;1797,21118226;1477203,04347826
110;1988,13876219;1493175,52173913
111;1803,61469441;1509458,47826087
112;1989,10866185;1525595,26086957
113;1812,40430431;1541648,82608696
114;1991,97339449;1557409,00000000
115;1813,71414869;1573663,30434783
116;1992,18138119;1589691,43478261
117;1813,54320101;1605601,26086957
118;1991,07101404;1621722,17391304
119;1815,32078020;1637836,26086957
120;1985,17293055;1654004,47826087
121;1811,69720180;1670312,65217391
122;1987,82996595;1686333,13043478
123;1812,28053775;1702322,73913043
124;1987,45592571;1718357,47826087
125;1807,26535844;1734767,39130435
126;1993,72315137;1750974,95652174
127;1808,59500819;1767120,91304348
128;1993,31001609;1783147,13043478
129;1806,45530664;1799216,47826087
130;1983,46618008;1815278,30434783
131;1809,08293169;1831664,21739130
132;1983,41236427;1847667,65217391
133;1806,86586369;1863827,86956522
134;1984,10057800;1879636,34782609
135;1809,43612240;1895901,60869565
136;1980,26359634;1911837,52173913
137;1805,23737932;1928138,39130435
138;1979,15138891;1944129,60869565
139;1807,91173343;1960373,65217391
140;1973,61385905;1976460,26086957
141;1810,54434349;1992653,52173913
142;1976,09499018;2008793,08695652
143;1807,11636841;2025160,17391304
144;1970,26164982;2041806,60869565
145;1808,64242470;2058180,65217391
146;1972,75619252;2074678,95652174
147;1808,84259608;2091364,65217391
148;1971,79163582;2107678,43478261
149;1810,81207197;2124237,91304348
150;1973,91874635;2140995,95652174
151;1803,95881276;2157776,17391304
152;1973,70477167;2174381,95652174
153;1806,90320081;2191281,30434783
154;1971,08444855;2207844,47826087
155;1804,93742981;2224325,86956522
156;1975,78527931;2240885,04347826
157;1800,02886760;2257556,65217391
158;1975,33466877;2273995,08695652
159;1803,68012863;2290851,69565217
160;1974,67261525;2307526,13043478
161;1804,47256918;2324338,95652174
162;1978,38451848;2341171,69565217
163;1796,86848453;2358037,78260870
164;1973,21940184;2374481,39130435
165;1793,37591347;2391354,26086957
166;1975,60047960;2408117,39130435
167;1796,14338243;2424950,39130435
168;1971,95211894;2441681,78260870
169;1794,97351872;2458817,56521739
170;1970,49962310;2475851,21739130
171;1792,98089138;2492879,34782609
172;1970,73965310;2509950,60869565
173;1791,96984053;2527214,95652174
174;1965,22666655;2543695,00000000
175;1796,68315143;2560718,39130435
176;1971,38834825;2577355,43478261
177;1794,57034015;2594318,39130435
178;1970,68077399;2611373,43478261
179;1797,69509884;2628838,47826087
180;1974,68557067;2645671,00000000
181;1799,08393900;2662572,65217391
182;1974,57022402;2679811,00000000
183;1799,81952242;2697335,52173913
184;1974,17177376;2714408,52173913
185;1802,40385684;2732260,65217391
186;1970,95304904;2749819,60869565
187;1800,16057413;2767290,00000000
188;1972,51804092;2784842,65217391
189;1798,14503911;2802489,39130435
190;1977,07164258;2819617,52173913
191;1798,28662387;2837123,91304348
192;1976,79016929;2854854,04347826
193;1800,81257508;2872485,17391304
194;1972,08034475;2890036,73913043
195;1797,81077756;2907973,95652174
196;1972,16804049;2925410,39130435
197;1796,50760446;2942752,47826087
198;1971,60970889;2960382,65217391
199;1797,96514632;2978439,95652174
200;1972,45214939;2996103,21739130
201;1800,15441785;3013850,00000000
202;1969,36477073;3031697,82608696
203;1799,64114073;3049718,34782609
204;1965,63038931;3067217,82608696
205;1797,98212587;3085403,82608696
206;1961,93627551;3103002,82608696
207;1799,89093036;3120835,08695652
208;1959,74626278;3138566,34782609
209;1797,93393056;3156735,56521739
210;1955,42043154;3174483,78260870
211;1794,89290916;3192661,21739130
212;1953,10189558;3210546,34782609
213;1788,26766810;3228626,95652174
214;1952,19924525;3246795,60869565
215;1787,93821454;3264811,34782609
216;1945,22750039;3282770,82608696
217;1796,34909909;3301018,34782609
218;1950,80695255;3319157,00000000
219;1790,09328989;3337482,04347826
220;1950,56583619;3355634,34782609
221;1791,01044732;3373956,95652174
222;1953,43576354;3392149,21739130
223;1782,36003499;3410172,17391304
224;1949,28001311;3428412,86956522
225;1786,95287514;3446832,43478261
226;1955,56651301;3465071,65217391
227;1783,39740672;3483546,04347826
228;1958,15594251;3502018,69565217
229;1787,33390142;3520519,00000000
230;1959,24974915;3538328,78260870
231;1784,35523085;3556928,65217391
232;1959,05803289;3575506,78260870
233;1780,38323530;3593740,69565217
234;1956,24777153;3612141,47826087
235;1780,81965179;3630460,34782609
236;1959,47145546;3648844,82608696
237;1779,68070656;3667265,86956522
238;1959,95382607;3685418,04347826
239;1782,96766160;3704058,82608696
240;1959,95379787;3722048,43478261
241;1777,82802285;3740473,91304348
242;1950,45216658;3758853,65217391
243;1775,00241335;3777367,69565217
244;1956,76100554;3795349,95652174
245;1768,51983356;3813947,65217391
246;1957,31664354;3832203,69565217
247;1769,47251293;3850727,47826087
248;1949,87888506;3869050,65217391
249;1762,79482487;3887718,13043478
250;1953,61284564;3905682,43478261
251;1882,43340356;3941578,39130435
252;1881,86895677;3977280,82608696
253;1880,95056390;4013385,52173913
254;1878,34486648;4048573,78260870
255;1876,68080505;4084414,17391304
256;1875,43658839;4119814,26086957
257;1874,94038543;4155502,26086957
258;1873,58438450;4191475,43478261
259;1872,76817037;4227042,30434783
260;1872,17059288;4262767,04347826
261;1871,19279945;4298217,95652174
262;1870,50619595;4333787,73913044
263;1870,08519158;4369194,30434783
264;1868,30663449;4404805,65217391
265;1868,14896061;4440364,78260870
266;1866,90128231;4476069,82608696
267;1866,82303282;4511872,78260870
268;1864,31562767;4547453,13043478
269;1863,99454621;4582952,82608696
270;1863,63629610;4618378,04347826
271;1863,19445072;4654635,78260870
272;1861,18079138;4690524,08695652
273;1861,02067429;4726135,13043478
274;1859,44600465;4761909,65217391
275;1856,09869527;4797311,34782609
276;1854,31021124;4832575,73913044
277;1854,23983150;4868179,65217391
278;1853,66539928;4903841,34782609
279;1853,26180051;4939461,78260870
280;1852,36395538;4974912,08695652
281;1851,07765391;5009797,21739131
282;1850,74292041;5044978,91304348
283;1850,13502695;5080294,69565217
284;1848,59341770;5115826,30434783
285;1847,51229805;5151089,73913044
286;1846,37329031;5185983,04347826
287;1845,43238278;5221146,86956522
288;1844,68776159;5256684,00000000
289;1843,81504730;5291987,91304348
290;1843,02573936;5327430,52173913
291;1842,70490003;5363043,43478261
292;1840,62543137;5399239,00000000
293;1839,80491057;5434904,04347826
294;1839,30357311;5470307,34782609
295;1838,95769879;5506403,21739131
296;1837,06199967;5542250,52173913
297;1836,75686777;5578053,95652174
298;1835,60783157;5614195,65217391
299;1834,97786156;5650251,91304348
300;1834,52293102;5686287,69565217
301;1833,99207494;5722043,34782609
302;1833,57507040;5757829,86956522
303;1832,23588079;5793852,08695652
304;1832,07604427;5829479,47826087
305;1831,73408421;5865463,91304348
306;1831,12014750;5901208,47826087
307;1830,30783754;5936726,82608696
308;1829,25907187;5972917,78260870
309;1828,81418758;6008534,73913044
310;1827,98033097;6044568,91304348
311;1826,83120435;6080883,78260870
312;1826,45953292;6116986,69565217
313;1826,33302991;6152938,78260870
314;1824,44311173;6188852,21739131
315;1822,90658670;6225034,47826087
316;1822,42137374;6261030,43478261
317;1822,32143550;6297283,91304348
318;1822,30580805;6333402,21739131
319;1822,26841541;6369642,56521739
320;1821,04715034;6405905,21739131
321;1820,94671450;6442698,26086957
322;1820,22611690;6478969,00000000
323;1820,18802521;6515395,30434783
324;1819,50744270;6551787,60869565
325;1818,71397625;6588457,69565217
326;1818,49494280;6624896,65217391
327;1817,94996704;6660494,00000000
328;1817,13520605;6696996,91304348
329;1816,73799387;6733121,95652174
330;1815,70727045;6769460,82608696
331;1814,93043036;6805512,26086957
332;1813,16822305;6841754,04347826
333;1813,15159779;6877603,73913044
334;1812,55171867;6913991,26086957
335;1812,53677701;6949940,47826087
336;1812,53677701;6986459,65217391
337;1811,00650226;7022175,26086957
338;1811,00506210;7057923,69565217
339;1811,00477759;7092711,82608696
340;1810,22834838;7129050,78260870
341;1809,39912826;7164967,65217391
342;1809,39482517;7201189,21739131
343;1809,29343919;7237289,04347826
344;1809,19250739;7272938,69565217
345;1809,08668802;7308086,26086957
346;1809,02426103;7343798,34782609
347;1809,02401321;7379713,91304348
348;1808,52443164;7415675,73913044
349;1806,69515962;7451533,26086957
350;1806,66057656;7487668,73913044
351;1805,67612644;7523665,47826087
352;1805,39326611;7558830,65217391
353;1804,90543254;7594024,56521739
354;1804,87492038;7630112,08695652
355;1804,53225680;7665036,34782609
356;1804,48969300;7700806,47826087
357;1804,25407068;7735954,43478261
358;1803,54374697;7771612,34782609
359;1801,25832861;7807678,78260870
360;1800,39161689;7843065,04347826
361;1800,37644003;7878387,21739131
362;1800,36331599;7914637,04347826
363;1800,22751175;7950606,00000000
364;1800,03032088;7986366,56521739
365;1799,51747900;8021706,73913044
366;1798,62190338;8057543,00000000
367;1798,52812400;8093099,39130435
368;1798,33253384;8129459,56521739
369;1798,32200735;8164892,86956522
370;1798,32121275;8200420,95652174
371;1798,18381791;8235828,00000000
372;1797,11795575;8271584,95652174
373;1796,58782490;8307676,95652174
374;1796,43330485;8344048,21739131
375;1796,28153773;8379903,69565217
376;1796,16046025;8415573,43478261
377;1795,89910149;8450897,52173913
378;1794,24053433;8486851,43478261
379;1793,79716961;8522301,04347826
380;1793,62567494;8558098,26086956
381;1793,53614603;8594295,60869565
382;1793,40001810;8629760,04347826
383;1793,36670912;8665495,65217391
384;1793,35219346;8700817,13043478
385;1793,32954119;8736334,13043478
386;1792,49750956;8771478,52173913
387;1792,44810376;8807159,00000000
388;1792,42316697;8842505,95652174
389;1792,38034568;8878520,82608696
390;1792,21004442;8914205,95652174
391;1791,88163292;8949666,69565217
392;1791,84126251;8985489,73913044
393;1790,81271544;9021868,34782609
394;1790,81035496;9057054,95652174
395;1790,55086370;9092896,56521739
396;1790,34618101;9129003,73913044
397;1790,28884763;9164178,95652174
398;1790,21747714;9200276,34782609
399;1790,21744965;9235861,13043478
400;1790,01736149;9272063,00000000
401;1787,81618502;9307895,69565217
402;1787,26170197;9344152,34782609
403;1787,26170197;9380260,47826087
404;1787,09370855;9416652,34782609
405;1786,99581089;9451838,43478261
406;1786,88017909;9487859,34782609
407;1786,34269015;9523881,34782609
408;1786,11906418;9560540,47826087
409;1785,79562379;9596123,82608696
410;1785,68714180;9632086,69565217
411;1785,51399014;9667879,82608696
412;1785,35631873;9703749,13043478
413;1785,29080500;9739690,78260870
414;1785,28669113;9774806,13043478
415;1785,22954608;9810097,56521739
416;1784,65653672;9845448,47826087
417;1784,54664836;9880730,34782609
418;1784,32323012;9916030,00000000
419;1784,02220928;9951493,21739131
420;1783,98387807;9987133,26086956
421;1783,62864712;10022564,39130435
422;1783,60172191;10057802,26086956
423;1783,60075084;10093082,95652174
424;1783,55318013;10128885,69565217
425;1783,50725192;10164165,17391304
