generation;fitness;time
0;2224.1215865267177;8623
1;1991.306783981754;16718
2;2217.1654931232283;25346
3;1936.5698583933042;33961
4;2129.458401008315;42437
5;1922.1658055147443;50986
6;2108.785777304836;59593
7;1913.5819713426338;67554
8;2093.416180472536;76097
9;1915.2732682730943;85163
10;2098.7717317864044;93718
11;1906.8036259548908;102866
12;2098.7717317864044;111536
13;1915.375681995135;120290
14;2108.5582670195204;129476
15;1900.2232660095106;138351
16;2099.3482983034746;147590
17;1900.2232660095106;156524
18;2092.1673008962725;165264
19;1900.2232660095106;173821
20;2065.8813887744477;182095
21;1900.2232660095106;190865
22;2087.79758341605;200064
23;1900.2232660095106;208997
24;2118.0430597111567;217855
25;1900.2232660095106;227016
26;2108.4019276966587;236662
27;1900.2232660095106;246196
28;2118.0430597111567;255935
29;1925.0767217126229;265914
30;2113.9579066893734;275131
31;1920.3778077859888;285524
32;2113.8868596854504;296011
33;1919.8348001849586;306320
34;2100.0555409140034;316077
35;1917.2272018024805;325833
36;2087.2051651474126;335388
37;1917.2272018024805;344417
38;2087.2051651474126;354345
39;1913.5035716042732;363677
40;2087.2051651474126;370326
41;1912.025566932095;376863
42;2087.1396947516632;386169
43;1912.025566932095;395428
44;2077.9125623597006;405219
45;1902.3249620685542;414678
46;2065.847827560819;425164
47;1900.4755221694534;434423
48;2066.808085857483;443331
49;1900.4755221694534;452956
50;2058.7227963172745;462500
51;1881.7747465155446;471747
52;2050.243771653786;482019
53;1871.356605273078;491977
54;2048.8615456553434;501110
55;1878.4153012424185;509963
56;2048.8520132574436;519493
57;1878.3547469778955;529742
58;2045.0944912320244;539360
59;1878.149965082022;548213
60;2044.4413273771027;557984
61;1864.601144208587;567034
62;2038.8951582707107;575986
63;1871.7414018071192;584998
64;2033.7091465204874;594790
65;1869.3989666973423;603599
66;2033.0197902556627;612859
67;1846.2208759102732;622417
68;2028.5858430343415;631914
69;1847.5192358349009;642306
70;2012.1045623232956;652343
71;1842.8654477015093;662125
72;2012.1045623232956;672206
73;1833.961412971669;682798
74;2007.763296139337;693919
75;1833.961412971669;704368
76;2007.763296139337;715159
77;1833.961412971669;727053
78;2007.763296139337;739663
79;1833.961412971669;752845
80;2007.763296139337;767814
81;1833.961412971669;782088
82;2007.763296139337;797591
83;1833.961412971669;807639
84;2007.763296139337;818344
85;1833.961412971669;828699
86;2007.763296139337;838561
87;1833.961412971669;848139
88;2007.763296139337;857851
89;1833.961412971669;867253
90;2007.763296139337;876661
91;1833.961412971669;886532
92;2007.763296139337;895826
93;1833.961412971669;906447
94;2007.763296139337;916418
95;1833.961412971669;927173
96;2007.5194079260405;937498
97;1833.9908046682767;947342
98;2007.5194079260405;956752
99;1833.9908046682767;966715
100;2007.5194079260405;975988
101;1833.9908046682767;985355
102;2007.0140924285804;994729
103;1833.9908046682767;1004959
104;2004.6663617446502;1013866
105;1844.341698054992;1023324
106;2005.1464412994958;1032780
107;1844.341698054992;1042200
108;2008.8076908934354;1052885
109;1847.1942219760401;1063887
110;2004.4856441367422;1074963
111;1844.179688392982;1086066
112;2004.5836104227394;1097552
113;1853.7798502153507;1110030
114;2004.6328742970386;1121304
115;1854.1568478925258;1132234
116;2004.6328742970386;1142651
117;1845.990446070098;1152875
118;2003.204775957393;1162369
119;1856.50696659375;1172025
120;2005.3444293114846;1181652
121;1757.8025147596993;1192657
122;2002.5384782571355;1201943
123;1736.9358071264867;1211546
124;2002.386277753547;1221076
125;1759.8534023197626;1230558
126;2002.4151792400144;1239534
