generation;fitness;time
0;1918,24327279;8557,56521739
1;2007,73495068;17227,56521739
2;1842,96707806;25584,30434783
3;1941,35952788;34049,26086957
4;1830,76351422;42325,13043478
5;1933,54353509;50680,04347826
6;1827,74671719;58987,43478261
7;1926,60918011;67545,00000000
8;1820,64544705;76044,56521739
9;1929,39355546;84549,86956522
10;1808,80674451;93102,17391304
11;1925,96401514;101901,86956522
12;1810,68183401;110787,04347826
13;1917,72101580;120086,00000000
14;1811,11465824;129355,65217391
15;1910,39028848;139095,43478261
16;1803,87403055;148920,78260870
17;1904,39917338;158740,82608696
18;1798,88285860;168755,34782609
19;1900,54666099;179097,86956522
20;1800,82511286;189317,08695652
21;1898,33641567;199920,60869565
22;1797,91444992;210143,43478261
23;1896,80116680;220780,04347826
24;1795,50493301;231577,69565217
25;1887,88109367;242582,26086957
26;1793,05902496;253644,17391304
27;1879,77464233;264820,47826087
28;1788,46549257;276084,91304348
29;1874,10050371;287564,26086957
30;1795,77090056;299056,86956522
31;1868,30372962;310831,43478261
32;1784,99502764;322553,73913043
33;1870,35892444;334509,34782609
34;1784,67453825;346444,21739130
35;1866,76676083;358842,26086957
36;1778,76044117;371039,17391304
37;1861,13867139;383524,30434783
38;1776,81305359;395901,86956522
39;1858,17323907;408460,26086957
40;1777,43297745;420855,60869565
41;1855,49790175;433668,47826087
42;1770,09272989;446280,65217391
43;1852,86051071;459280,13043478
44;1776,26372340;472081,47826087
45;1853,21537799;485211,73913043
46;1779,71203976;498326,78260870
47;1848,06691102;511573,69565217
48;1780,85893535;525460,91304348
49;1849,57734680;539828,52173913
50;1778,03433296;554052,04347826
51;1850,45778141;568889,78260870
52;1772,75115646;583930,78260870
53;1843,55948970;599197,43478261
54;1765,44302637;614490,43478261
55;1841,27652196;630325,47826087
56;1771,18992270;645583,69565217
57;1839,67782303;661037,34782609
58;1769,32744975;676237,26086957
59;1838,15643538;691923,95652174
60;1765,49141582;707059,73913043
61;1841,02671378;723412,39130435
62;1766,11594121;739509,56521739
63;1841,40715935;755520,60869565
64;1761,06678460;772056,17391304
65;1841,77252209;787693,95652174
66;1758,78977112;804089,13043478
67;1838,63848830;819847,78260870
68;1757,36100763;835639,17391304
69;1837,42641992;852313,86956522
70;1756,09013802;868297,60869565
71;1843,46336311;883591,95652174
72;1752,20449702;900590,39130435
73;1837,40914715;916010,08695652
74;1753,69360835;932095,04347826
75;1840,05562722;948314,39130435
76;1748,81050409;963893,21739130
77;1832,81029476;980679,08695652
78;1756,30334394;996161,52173913
79;1835,29463007;1011699,00000000
80;1757,99099781;1028283,34782609
81;1839,37647482;1044477,78260870
82;1756,68713569;1060260,04347826
83;1838,06809707;1076688,30434783
84;1754,53475369;1092504,21739130
85;1835,07467169;1109152,04347826
86;1751,88153466;1124140,04347826
87;1833,70948861;1139946,95652174
88;1751,62853833;1156098,56521739
89;1833,85600167;1171409,21739130
90;1750,23319837;1187806,30434783
91;1835,46040604;1204134,04347826
92;1753,30925339;1219458,91304348
93;1835,09856650;1236458,13043478
94;1748,16809891;1252489,56521739
95;1833,41945336;1268337,21739130
96;1743,53683609;1283649,91304348
97;1828,94924924;1299703,82608696
98;1744,15091207;1315631,69565217
99;1829,60815558;1332803,43478261
100;1750,30571166;1348758,17391304
101;1820,48532405;1365144,82608696
102;1748,46454256;1382375,47826087
103;1822,94336762;1398855,08695652
104;1751,67028941;1414984,69565217
105;1813,58289383;1432350,04347826
106;1754,73493299;1449347,08695652
107;1816,07223257;1466268,56521739
108;1748,60597120;1483146,43478261
109;1820,59023410;1499961,65217391
110;1747,41140799;1516780,43478261
111;1818,60758535;1534713,60869565
112;1746,88039199;1552734,60869565
113;1824,39466962;1569704,69565217
114;1750,85480012;1586797,08695652
115;1821,89481948;1603247,13043478
116;1746,35510237;1619869,78260870
117;1823,63067139;1637714,26086957
118;1742,04642826;1655880,69565217
119;1820,79654707;1673452,91304348
120;1745,17256767;1690641,73913043
121;1819,40288340;1707775,91304348
122;1736,64855005;1724285,82608696
123;1815,65609239;1742217,86956522
124;1742,08287878;1760163,04347826
125;1823,81746036;1778360,13043478
126;1740,63858882;1796276,82608696
127;1824,09697359;1814994,52173913
128;1737,22323511;1834076,95652174
129;1819,66092833;1852728,26086957
130;1736,06909715;1871816,34782609
131;1820,43770199;1890611,86956522
132;1739,28380377;1909004,82608696
133;1818,21904915;1927892,47826087
134;1738,14700965;1946454,21739130
135;1816,06287882;1964988,43478261
136;1739,73880185;1983484,21739130
137;1817,05025437;2001881,82608696
138;1738,66567584;2019534,00000000
139;1819,13220652;2037662,30434783
140;1742,23815326;2057121,78260870
141;1812,17759531;2075557,69565217
142;1737,23305580;2095155,91304348
143;1814,61634823;2114292,95652174
144;1740,71198875;2133459,47826087
145;1813,55079143;2152003,39130435
146;1740,31826513;2171160,65217391
147;1813,07121470;2190569,47826087
148;1739,21680723;2209776,69565217
149;1812,95435433;2229580,30434783
150;1735,70808590;2248487,56521739
151;1811,89269775;2267255,08695652
152;1735,62102922;2286738,17391304
153;1813,38916601;2306527,73913043
154;1735,99395998;2324807,60869565
155;1810,81612432;2343091,00000000
156;1737,23947166;2362132,69565217
157;1810,32131884;2381209,04347826
158;1732,15998310;2400665,21739130
159;1811,38162895;2420758,34782609
160;1738,26261368;2440768,26086957
161;1807,09725945;2459576,34782609
162;1732,42319198;2478196,56521739
163;1804,47446359;2497640,21739130
164;1732,58305564;2516404,47826087
165;1808,44096610;2534983,69565217
166;1732,21714893;2554345,47826087
167;1805,32661878;2573505,43478261
168;1728,91155830;2591838,39130435
169;1801,98913025;2610569,86956522
170;1723,34994534;2629140,08695652
171;1804,31289974;2649363,13043478
172;1728,21094513;2668557,17391304
173;1802,66196169;2688332,08695652
174;1730,05617169;2706344,34782609
175;1801,40191218;2725962,78260870
