time;testset error
14747591,00000000;8129,56343892
13893750,00000000;6016,64047289
13850527,00000000;2255,39193262
13942142,00000000;2333,44366488
14712803,00000000;2319,09014214
14132679,00000000;2415,38768959
13404479,00000000;2325,14845312
14309818,00000000;2278,89409066
13108594,00000000;2337,73803712
14919451,00000000;2344,68497168
13985448,00000000;2318,76612734
13974998,00000000;2282,76481521
12907154,00000000;2320,90402180
13662840,00000000;2436,76857173
13121404,00000000;2258,95262961
14501386,00000000;2192,70438512
14027965,00000000;2388,13355405
14233428,00000000;2307,27041276
14407134,00000000;2262,30948781
13048876,00000000;2372,63900809
13363045,00000000;2179,65511680
13936422,00000000;2410,79196323
13762591,00000000;5969,38622838
