generation;fitness;time
0;1985.0181730760828;8694
1;2071.703011147377;16538
2;1841.2859175127755;24690
3;1939.153291340598;33132
4;1815.2153713396935;40635
5;1938.7853228758763;49065
6;1829.0570575982993;57398
7;1938.2154086408614;65936
8;1807.8219658547869;74059
9;1938.2154086408614;82158
10;1801.534732460448;90999
11;1938.2154086408614;99028
12;1801.956717161709;105693
13;1940.1855397768395;114356
14;1804.8038665763231;123019
15;1936.2564344602354;131600
16;1807.6274857434332;139593
17;1939.8933157832125;148470
18;1802.8378747423078;157110
19;1939.8153400420642;166126
20;1760.308090658611;174587
21;1939.608964327263;183523
22;1795.6465121342753;192319
23;1932.6161214799683;201756
24;1769.9176347613904;210910
25;1934.902865998639;220538
26;1775.020116057908;229612
27;1882.6765481317784;238516
28;1757.986429670928;247645
29;1901.1261775314408;256644
30;1757.986429670928;265525
31;1901.1261775314408;274005
32;1749.653770123423;282589
33;1883.611734351794;290366
34;1749.6766844003134;297763
35;1885.5586434477896;306580
36;1749.8016195907903;314981
37;1885.5586434477896;323587
38;1749.8016195907903;333155
39;1879.8744258100614;342987
40;1749.8016195907903;353309
41;1878.0739751980464;364345
42;1749.8016195907903;375553
43;1861.7219742393788;386717
44;1749.8016195907903;397714
45;1861.2207825217754;408829
46;1746.56273336329;420094
47;1860.8300998451928;431363
48;1746.549822858333;442481
49;1860.8300998438406;452601
50;1746.5610220777874;463887
51;1851.2831311674267;474437
52;1746.4879210353156;486651
53;1828.1186131326021;499963
54;1740.496713459296;513501
55;1858.9653639558035;526775
56;1728.9460377175658;540798
57;1824.0821523262764;555024
58;1741.9640890814069;570582
59;1844.3633485375033;587112
60;1745.5255962203391;603891
61;1857.2243669276925;625511
62;1736.1366291915374;649173
63;1856.4841247227466;668309
64;1747.9583090859114;690741
65;1822.283472192577;711011
66;1756.112379722846;733912
67;1799.146954501615;755166
68;1746.509403837076;776962
69;1815.7598097759083;799536
70;1724.4756927994517;819080
71;1826.2013057550719;840544
72;1727.9998666863548;864082
73;1775.604169289959;883809
74;1678.8028258236698;904969
75;1783.9191425085492;918517
76;1630.640572202581;932635
77;1769.2009874958742;952693
78;1742.7362395855696;973819
79;1782.8410346949881;989177
80;1731.8002105768999;1006425
81;1770.8450053322256;1022626
82;1743.0099618196764;1035861
83;1768.643448665612;1057435
84;1733.4757259580776;1082295
85;1769.7524906964245;1107095
86;1723.1216893318492;1128989
87;1770.1480984791722;1152694
88;1725.4597986649135;1174095
89;1768.9118369389798;1188458
90;1725.4597986649135;1208534
91;1770.0811642385045;1226454
92;1725.4597986649135;1240193
93;1781.5204712902312;1259499
94;1713.5688576939385;1276642
95;1785.4910507384802;1297552
96;1714.0550618372295;1311972
97;1793.0237816283188;1330198
98;1678.4492054042112;1352346
99;1792.9940045415644;1373463
100;1724.336515451805;1395166
101;1789.8094788115384;1414460
102;1713.0848268103528;1438068
103;1790.931804121333;1457316
104;1711.1736008533994;1477005
105;1796.551832231894;1501018
106;1711.9744420907157;1521392
107;1796.4308647487587;1541983
108;1713.3845554295199;1557634
109;1795.7922805918597;1575546
110;1716.041296729881;1597524
111;1808.512272126599;1620862
112;1714.219973929233;1644984
113;1797.5482055467915;1663291
114;1734.8758951372151;1684637
115;1797.281988138776;1702331
116;1729.0782179877954;1724174
117;1811.0739919575262;1743582
118;1729.074975116284;1762369
119;1822.3252077792804;1785136
120;1727.2616510111015;1801843
121;1778.2224846172746;1822336
122;1716.9117431750085;1843383
123;1789.5675695022999;1863886
124;1715.6903754475686;1887452
125;1789.5894549087652;1908838
126;1715.686429701281;1930518
127;1792.1975632895792;1951449
128;1715.686429701281;1973551
129;1786.4347073932552;1991225
130;1715.5246940240256;2014393
131;1792.9239372726454;2033409
132;1715.5237811597021;2047541
133;1808.8286600702986;2073142
134;1715.5012769984812;2087304
135;1808.6037495866312;2109220
136;1724.9714488256923;2133310
137;1808.6037495866312;2153569
138;1724.0308492883785;2174701
