generation;fitness;time
0;2011,74003158;794,50000000
1;2136,46941378;1187,30000000
2;1955,78089925;1576,70000000
3;2102,55437295;1968,90000000
4;1939,80817068;2353,96666667
5;2095,71634445;2744,93333333
6;1937,68622929;3130,03333333
7;2092,80386461;3517,46666667
8;1935,35996692;3900,30000000
9;2087,54572561;4288,46666667
10;1933,92010014;4673,80000000
11;2081,73630567;5066,00000000
12;1927,20526718;5453,80000000
13;2079,72912162;5845,73333333
14;1926,11089437;6236,73333333
15;2076,45028007;6627,06666667
16;1924,88292174;7012,50000000
17;2068,09927542;7403,33333333
18;1916,21333953;7791,33333333
19;2071,25246235;8180,63333333
20;1913,21224953;8568,26666667
21;2065,53108263;8957,93333333
22;1902,92020818;9345,60000000
23;2060,65560632;9739,50000000
24;1903,78464707;10126,30000000
25;2057,20327576;10520,96666667
26;1903,69197543;10909,40000000
27;2052,50993551;11304,23333333
28;1898,25047402;11693,20000000
29;2052,16878794;12086,16666667
30;1896,90859670;12478,36666667
31;2048,60020056;12875,43333333
32;1895,97854065;13267,46666667
33;2051,19672367;13665,73333333
34;1895,75568225;14059,26666667
35;2045,47885838;14458,16666667
36;1895,51134236;14850,76666667
37;2048,44783376;15246,90000000
38;1893,03733321;15642,16666667
39;2047,57140708;16040,00000000
40;1882,75960090;16435,76666667
41;2044,41722248;16835,93333333
42;1886,14450353;17229,56666667
43;2040,58581353;17629,50000000
44;1881,78389943;18026,20000000
45;2042,11617965;18424,26666667
46;1883,35419718;18822,06666667
47;2037,64502219;19226,50000000
48;1885,23255448;19627,30000000
49;2032,66466488;20031,46666667
50;1880,59101714;20431,30000000
51;2037,54690146;20837,96666667
52;1884,94052730;21246,06666667
53;2043,34203008;21671,90000000
54;1882,14338658;22087,23333333
55;2039,76241437;22526,30000000
56;1881,14135402;22944,10000000
57;2040,34715234;23368,96666667
58;1879,23662826;23789,43333333
59;2037,14821567;24220,40000000
60;1874,92272803;24641,73333333
61;2038,56996127;25062,80000000
62;1872,23470859;25490,26666667
63;2035,34411347;25921,93333333
64;1870,32990729;26345,03333333
65;2034,03401838;26771,40000000
66;1871,51365185;27189,00000000
67;2032,51307470;27615,63333333
68;1869,03971377;28040,30000000
69;2032,18931220;28464,30000000
70;1868,11578938;28877,00000000
71;2031,63457965;29293,50000000
72;1867,59444164;29700,63333333
73;2029,12316249;30116,73333333
74;1865,50859714;30529,36666667
75;2029,67211880;30943,10000000
76;1864,83194263;31349,70000000
77;2025,22208438;31759,76666667
78;1865,63019467;32165,10000000
79;2027,36019926;32576,30000000
80;1862,27985765;32983,23333333
81;2025,86962177;33395,80000000
82;1862,81583720;33826,83333333
83;2024,07258068;34262,10000000
84;1864,47550490;34693,26666667
85;2024,69147232;35124,10000000
86;1864,53500340;35542,76666667
87;2021,91364918;35976,40000000
88;1861,90869605;36402,36666667
89;2021,60431649;36847,50000000
90;1861,85539442;37279,80000000
91;2021,30769738;37705,66666667
92;1863,07245386;38133,70000000
93;2018,79108765;38580,03333333
94;1860,70602722;39015,10000000
95;2018,69266373;39452,16666667
96;1858,10231591;39879,76666667
97;2019,27186861;40324,80000000
98;1858,76487195;40755,10000000
99;2015,77172628;41178,20000000
100;1854,76581425;41596,33333333
101;2018,96662736;42013,13333333
102;1857,73868958;42422,76666667
103;2017,21114968;42839,50000000
104;1856,61708055;43249,66666667
105;2013,05450018;43662,73333333
106;1854,88388323;44071,50000000
107;2013,22786999;44485,80000000
108;1855,46289955;44895,70000000
109;2013,76664949;45313,66666667
110;1854,65690980;45726,80000000
111;2014,08600733;46146,20000000
112;1849,57618109;46558,96666667
113;2014,13213026;46976,60000000
114;1851,45624974;47389,60000000
115;2013,02976622;47807,66666667
116;1848,15579920;48220,96666667
117;2011,93728266;48639,96666667
118;1853,03057216;49053,86666667
119;2007,13680391;49470,53333333
120;1853,29306246;49883,26666667
121;2004,14182167;50302,46666667
122;1853,32490338;50712,90000000
123;2002,89896386;51131,53333333
124;1854,59965501;51545,23333333
125;1998,74077066;51962,06666667
126;1852,62875838;52376,86666667
127;2005,56695382;52796,46666667
128;1850,89845982;53212,93333333
129;2004,58012680;53634,00000000
130;1849,86091819;54048,63333333
131;2003,17131256;54467,30000000
132;1849,54930950;54882,16666667
133;2002,40386750;55299,76666667
134;1850,57586606;55716,03333333
135;1998,35108888;56135,46666667
136;1846,13254363;56549,56666667
137;1997,81893570;56969,33333333
138;1847,72341950;57384,43333333
139;2000,94453052;57802,86666667
140;1846,73476437;58219,56666667
141;2000,89955907;58638,53333333
142;1845,13058099;59052,53333333
143;1998,58419903;59474,10000000
144;1846,39289361;59888,66666667
145;1999,11674409;60307,70000000
146;1844,63883830;60722,56666667
147;1998,05981849;61140,70000000
148;1842,96137714;61557,36666667
149;1997,83938905;61978,73333333
150;1839,44149867;62394,26666667
151;1995,96902362;62816,93333333
152;1834,84877353;63235,10000000
153;1996,97760295;63657,93333333
154;1836,84111760;64075,66666667
155;1994,19906937;64496,30000000
156;1837,33879782;64912,80000000
157;1995,22607447;65336,76666667
