time;testset error
150064,00000000;2302,91905087
148129,00000000;5950,42395617
140526,00000000;2145,65743026
142975,00000000;2265,27378797
154137,00000000;5925,69971705
148276,00000000;2166,77698174
146762,00000000;2335,52084535
145525,00000000;2247,50403395
149115,00000000;5946,48627324
145679,00000000;5970,00908540
149571,00000000;2581,94716875
149410,00000000;2525,55673360
150918,00000000;2301,93740151
138264,00000000;2245,93812852
141156,00000000;5934,59441396
144489,00000000;5913,28825985
146452,00000000;2208,77020523
147546,00000000;2288,62762132
139875,00000000;2258,84290714
152593,00000000;5958,49235272
141883,00000000;2330,26195451
139311,00000000;5933,89683619
156625,00000000;5936,04421201
156346,00000000;2233,46172001
144758,00000000;5913,59360099
153409,00000000;5888,75211454
150213,00000000;5935,39342237
138831,00000000;2378,84047750
140608,00000000;7061,15215434
144529,00000000;6089,92584014
