time;testset error
133988,00000000;2130,54012594
137926,00000000;2097,25838366
134295,00000000;2118,26304071
137767,00000000;2058,84307560
133324,00000000;2203,95658621
135827,00000000;2063,99648116
130827,00000000;2162,00418034
132085,00000000;2196,58818751
134304,00000000;2106,48935228
133704,00000000;2159,14485142
132815,00000000;2228,25226418
133578,00000000;2071,33042015
132410,00000000;2128,64419795
131833,00000000;2116,69248887
135058,00000000;2050,03241157
137274,00000000;2091,26383326
132637,00000000;2107,95694389
134342,00000000;2124,80501605
134062,00000000;2143,97405627
135748,00000000;2129,39554247
133299,00000000;2138,20074757
134678,00000000;2092,31838741
133460,00000000;2112,74947197
136504,00000000;2102,13993662
134020,00000000;2079,85927297
135794,00000000;2102,23145427
135773,00000000;2114,16316862
132038,00000000;2094,67964221
138087,00000000;2077,34568056
135502,00000000;2138,30743202
