Linear;ForkJoin;Phaser;Island
1695.774994;1887.753727;1804.550582;1720.383927
1782.413948;1900.236829;1912.01913;1728.170167
1812.016842;1901.977421;1835.906323;1664.378514
1778.013047;1907.219409;1830.75783;1654.621669
1783.900853;1923.741378;1858.010594;1596.472426
1889.647675;1797.249641;1820.006355;1887.895891
1775.513534;1907.070898;1799.318957;1682.466034
1837.012982;1917.15432;1868.812515;1630.720098
1756.737434;1858.374154;1835.880533;1722.556356
1730.916553;1906.748218;1933.91369;1688.933464
1805.478648;1877.888217;1843.656281;1622.92471
1728.918611;1799.416016;1902.255534;1781.703133
1868.33095;1778.163783;1862.285007;1729.207594
1981.289666;1874.820215;1849.168569;1704.149317
1589.881206;1782.222097;1908.281592;1698.066729
1800.611613;1823.825799;1977.788905;1740.626131
1765.560308;1802.887563;1749.857951;1738.555523
1740.915778;1868.87167;1896.126872;1739.139227
1630.938656;1949.510347;1882.276114;1705.670594
1728.725004;1926.908459;1877.45179;1715.810005
1726.233216;1853.012344;1782.180645;1748.982126
1722.051105;1875.543209;1764.103945;1786.849962
1704.4957;1905.794031;1581.898965;1713.504452
;1846.475713;1739.197551;1653.598017
;1937.87018;1754.303491;1564.516864
;1801.697402;1839.911585;1700.91601
;1931.865359;1884.870931;1640.693108
;1893.125024;1915.119687;1730.307462
;1855.285297;1760.815327;1739.461361
;1746.54002;1903.049577;1759.355956
;;;
