Phaser;ForkJoin;Linear;Island6
358;302;11399;236
312;286;12454;253
330;295;10455;236
314;275;12817;236
316;308;12835;229
332;270;12467;236
309;279;13583;239
308;294;12853;241
333;286;13156;232
311;268;1294;246
313;297;12959;244
296;286;1313;245
347;295;13032;246
347;279;7665;239
338;286;12786;244
324;285;12672;236
313;285;13027;233
356;277;12996;237
360;280;13054;233
316;292;13229;245
322;314;12135;228
315;281;13107;241
299;299;13069;240
352;288;;235
352;267;;234
312;286;;241
309;277;;232
368;295;;229
317;273;;227
320;271;;246
