Regular GA;Adaptative GA
1695.774994;1698.608964
1782.413948;1419.405091
1812.016842;1731.919262
1778.013047;1677.894401
1783.900853;1544.781138
1889.647675;1768.811679
1775.513534;1764.20968
1837.012982;1685.165817
1756.737434;1763.552564
1730.916553;1557.957676
1805.478648;1663.372287
1728.918611;1675.164584
1868.33095;1712.769962
1981.289666;1694.40011
1589.881206;1637.481537
1800.611613;1651.239349
1765.560308;1665.837189
1740.915778;1770.577681
1630.938656;1658.435569
1728.725004;1706.597849
1726.233216;1798.603326
1722.051105;1679.042358
1704.4957;1600.801757
